"city","week_date","year","month","chart_rank","demand_score","song","artist","track_id","artist_id","artist_genres","primary_genre"
"Chicago","2025-01-23",2025,"Jan",54,47,"Kill Bill","SZA","","","",""
"Chicago","2025-01-23",2025,"Jan",55,46,"Snooze","SZA","","","",""
"Chicago","2025-01-23",2025,"Jan",56,45,"Sweater Weather","The Neighbourhood","","","",""
"Chicago","2025-01-23",2025,"Jan",57,44,"LA MuDANZA","Bad Bunny","","","",""
"Chicago","2025-01-23",2025,"Jan",58,43,"Stick Season","Noah Kahan","","","",""
"Chicago","2025-01-23",2025,"Jan",59,42,"Love Somebody","Morgan Wallen","","","",""
"Chicago","2025-01-23",2025,"Jan",60,41,"Dollar Pony Rides","Mac Miller","","","",""
"Chicago","2025-01-23",2025,"Jan",61,40,"Too Sweet","Hozier","","","",""
"Chicago","2025-01-23",2025,"Jan",62,39,"MILLION DOLLAR BABY","Tommy Richman","","","",""
"Chicago","2025-01-23",2025,"Jan",63,38,"Funny Papers","Mac Miller","","","",""
"Chicago","2025-01-23",2025,"Jan",64,37,"WHATCHU KNO ABOUT ME (feat. Sexyy Red)","GloRilla, Sexyy Red","","","",""
"Chicago","2025-01-23",2025,"Jan",65,36,"LA PATRULLA","Peso Pluma, Neton Vega","","","",""
"Chicago","2025-01-23",2025,"Jan",66,35,"Khé?","Rauw Alejandro, Romeo Santos","","","",""
"Chicago","2025-01-23",2025,"Jan",67,34,"Si Antes Te Hubiera Conocido","KAROL G","","","",""
"Chicago","2025-01-23",2025,"Jan",68,33,"Scorsese Baby Daddy","SZA","","","",""
"Chicago","2025-01-23",2025,"Jan",69,32,"LO QUE LE PASÓ A HAWAii","Bad Bunny","","","",""
"Chicago","2025-01-23",2025,"Jan",70,31,"Bed Chem","Sabrina Carpenter","","","",""
"Chicago","2025-01-23",2025,"Jan",71,30,"All The Stars (with SZA) - From ""Black Panther: The Album""","Kendrick Lamar, SZA","","","",""
"Chicago","2025-01-23",2025,"Jan",72,29,"EL LOKERON","Tito Double P","","","",""
"Chicago","2025-01-23",2025,"Jan",73,28,"DJ's Chord Organ (feat. SZA)","Mac Miller, SZA","","","",""
"Chicago","2025-01-23",2025,"Jan",74,27,"Gang Baby","NLE Choppa","","","",""
"Chicago","2025-01-23",2025,"Jan",75,26,"ROSONES","Jorsshh, Fuerza Regida","","","",""
"Chicago","2025-01-23",2025,"Jan",76,25,"NIGHTS LIKE THIS","The Kid LAROI","","","",""
"Chicago","2025-01-23",2025,"Jan",77,24,"Pink Skies","Zach Bryan","","","",""
"Chicago","2025-01-23",2025,"Jan",78,23,"on one tonight","Gunna","","","",""
"Chicago","2025-01-23",2025,"Jan",79,22,"Mr. Brightside","The Killers","","","",""
"Chicago","2025-01-23",2025,"Jan",80,21,"ME JALO","Fuerza Regida, Grupo Frontera","","","",""
"Chicago","2025-01-23",2025,"Jan",81,20,"we can't be friends (wait for your love)","Ariana Grande","","","",""
"Chicago","2025-01-23",2025,"Jan",82,19,"Cigarette Daydreams","Cage The Elephant","","","",""
"Chicago","2025-01-23",2025,"Jan",83,18,"Saturn","SZA","","","",""
"Chicago","2025-01-23",2025,"Jan",84,17,"Red Wine Supernova","Chappell Roan","","","",""
"Chicago","2025-01-23",2025,"Jan",85,16,"Take Me to Church","Hozier","","","",""
"Chicago","2025-01-23",2025,"Jan",86,15,"Beautiful Things","Benson Boone","","","",""
"Chicago","2025-01-23",2025,"Jan",87,14,"Like That","Future, Metro Boomin, Kendrick Lamar","","","",""
"Chicago","2025-01-23",2025,"Jan",88,13,"Pink + White","Frank Ocean","","","",""
"Chicago","2025-01-23",2025,"Jan",89,12,"The Days - NOTION Remix","Chrystal, NOTION","","","",""
"Chicago","2025-01-23",2025,"Jan",90,11,"Indigo (feat. Avery Anna)","Sam Barber, Avery Anna","","","",""
"Chicago","2025-01-23",2025,"Jan",91,10,"LA CANCIÓN","J Balvin, Bad Bunny","","","",""
"Chicago","2025-01-23",2025,"Jan",92,9,"","Arctic Monkeys","","","",""
"Chicago","2025-01-23",2025,"Jan",93,8,"Do You Have A Destination?","Mac Miller","","","",""
"Chicago","2025-01-23",2025,"Jan",94,7,"Dreams - 2004 Remaster","Fleetwood Mac","","","",""
"Chicago","2025-01-23",2025,"Jan",95,6,"Nobody Gets Me","SZA","","","",""
"Chicago","2025-01-23",2025,"Jan",96,5,"NISSAN ALTIMA","Doechii","","","",""
"Chicago","2025-01-23",2025,"Jan",97,4,"Beanie","Chezile","","","",""
"Chicago","2025-01-23",2025,"Jan",98,3,"Wind Up Missin’ You","Tucker Wetmore","","","",""
"Chicago","2025-01-23",2025,"Jan",99,2,"BANDIT","Don Toliver","","","",""
"Chicago","2025-01-23",2025,"Jan",100,1,"Juno","Sabrina Carpenter","","","",""
"Chicago","2025-01-30",2025,"Jan",1,100,"DtMF","Bad Bunny","","","",""
"Chicago","2025-01-30",2025,"Jan",2,99,"luther (with sza)","Kendrick Lamar, SZA","","","",""
"Chicago","2025-01-30",2025,"Jan",3,98,"Die With A Smile","Lady Gaga, Bruno Mars","","","",""
"Chicago","2025-01-30",2025,"Jan",4,97,"BAILE INoLVIDABLE","Bad Bunny","","","",""
"Chicago","2025-01-30",2025,"Jan",5,96,"X4","Travis Scott","","","",""
"Chicago","2025-01-30",2025,"Jan",6,95,"NUEVAYoL","Bad Bunny","","","",""
"Chicago","2025-01-30",2025,"Jan",7,94,"tv off (feat. lefty gunplay)","Kendrick Lamar, Lefty Gunplay","","","",""
"Chicago","2025-01-30",2025,"Jan",8,93,"That’s So True","Gracie Abrams","","","",""
"Chicago","2025-01-30",2025,"Jan",9,92,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne","","","",""
"Chicago","2025-01-30",2025,"Jan",10,91,"Messy","Lola Young","","","",""
"Chicago","2025-01-30",2025,"Jan",11,90,"BIRDS OF A FEATHER","Billie Eilish","","","",""
"Chicago","2025-01-30",2025,"Jan",12,89,"Loco","Neton Vega","","","",""
"Chicago","2025-01-30",2025,"Jan",13,88,"Timeless (feat Playboi Carti)","The Weeknd, Playboi Carti","","","",""
"Chicago","2025-01-30",2025,"Jan",14,87,"VOY A LLeVARTE PA PR","Bad Bunny","","","",""
"Chicago","2025-01-30",2025,"Jan",15,86,"APT.","ROSÉ, Bruno Mars","","","",""
"Chicago","2025-01-30",2025,"Jan",16,85,"Good Luck, Babe!","Chappell Roan","","","",""
"Chicago","2025-01-30",2025,"Jan",17,84,"EoO","Bad Bunny","","","",""
"Chicago","2025-01-30",2025,"Jan",18,83,"Sailor Song","Gigi Perez","","","",""
"Chicago","2025-01-30",2025,"Jan",19,82,"squabble up","Kendrick Lamar","","","",""
"Chicago","2025-01-30",2025,"Jan",20,81,"Qué Pasaría...","Rauw Alejandro, Bad Bunny","","","",""
"Chicago","2025-01-30",2025,"Jan",21,80,"Like Him (feat. Lola Young)","Tyler, The Creator, Lola Young","","","",""
"Chicago","2025-01-30",2025,"Jan",22,79,"VeLDÁ","Bad Bunny, Omar Courtz, Dei V","","","",""
"Chicago","2025-01-30",2025,"Jan",23,78,"BMF","SZA","","","",""
"Chicago","2025-01-30",2025,"Jan",24,77,"DENIAL IS A RIVER","Doechii","","","",""
"Chicago","2025-01-30",2025,"Jan",25,76,"For 30 (with Kendrick Lamar)","SZA, Kendrick Lamar","","","",""
"Chicago","2025-01-30",2025,"Jan",26,75,"Fat Juicy & Wet","Sexyy Red, Bruno Mars","","","",""
"Chicago","2025-01-30",2025,"Jan",27,74,"Sports car","Tate McRae","","","",""
"Chicago","2025-01-30",2025,"Jan",28,73,"Espresso","Sabrina Carpenter","","","",""
"Chicago","2025-01-30",2025,"Jan",29,72,"No Pole","Don Toliver","","","",""
"Chicago","2025-01-30",2025,"Jan",30,71,"I Had Some Help (Feat. Morgan Wallen)","Post Malone, Morgan Wallen","","","",""
"Chicago","2025-01-30",2025,"Jan",31,70,"WELTiTA","Bad Bunny, Chuwi","","","",""
"Chicago","2025-01-30",2025,"Jan",32,69,"A Bar Song (Tipsy)","Shaboozey","","","",""
"Chicago","2025-01-30",2025,"Jan",33,68,"Taste","Sabrina Carpenter","","","",""
"Chicago","2025-01-30",2025,"Jan",34,67,"Not Like Us","Kendrick Lamar","","","",""
"Chicago","2025-01-30",2025,"Jan",35,66,"EL CLúB","Bad Bunny","","","",""
"Chicago","2025-01-30",2025,"Jan",36,65,"See You Again (feat. Kali Uchis)","Tyler, The Creator, Kali Uchis","","","",""
"Chicago","2025-01-30",2025,"Jan",37,64,"Lose Control","Teddy Swims","","","",""
"Chicago","2025-01-30",2025,"Jan",38,63,"No One Noticed","The Marías","","","",""
"Chicago","2025-01-30",2025,"Jan",39,62,"WILDFLOWER","Billie Eilish","","","",""
"Chicago","2025-01-30",2025,"Jan",40,61,"PERFuMITO NUEVO","Bad Bunny, RaiNao","","","",""
"Chicago","2025-01-30",2025,"Jan",41,60,"ROSONES","Tito Double P","","","",""
"Chicago","2025-01-30",2025,"Jan",42,59,"KLOuFRENS","Bad Bunny","","","",""
"Chicago","2025-01-30",2025,"Jan",43,58,"Pink Pony Club","Chappell Roan","","","",""
"Chicago","2025-01-30",2025,"Jan",44,57,"Tweaker","GELO","","","",""
"Chicago","2025-01-30",2025,"Jan",45,56,"Tu Boda","Oscar Maydon, Fuerza Regida","","","",""
"Chicago","2025-01-30",2025,"Jan",46,55,"HOT TO GO!","Chappell Roan","","","",""
